,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
303,Poole,40,GB,1555108832,80,50.72,-1.98,45.0,3.36
304,Kirakira,24,SB,1555108845,98,-10.46,161.92,84.7,20.49
305,Kampot,40,KH,1555106400,88,10.62,104.18,78.8,2.24
306,Taltal,0,CL,1555108846,91,-25.41,-70.49,56.8,1.25
307,Alice Springs,0,AU,1555106400,23,-23.7,133.88,51.8,3.36
308,Maniitsoq,24,GL,1555108846,81,65.42,-52.9,27.0,13.33
309,Bure,64,NG,1555108846,42,10.52,10.33,86.31,8.08
310,Aswan,0,EG,1555108847,48,24.09,32.9,55.81,3.83
311,Nishihara,1,JP,1555108809,52,35.74,139.53,57.0,5.82
312,Cockburn Town,36,TC,1555108847,100,21.46,-71.14,78.21,17.25
313,West Wendover,75,US,1555106160,37,40.74,-114.07,48.2,23.04
314,Souillac,0,FR,1555108597,60,45.6,-0.6,50.0,2.93
315,Honningsvag,88,NO,1555108847,97,70.98,25.97,35.46,18.81
316,Marawi,0,PH,1555108277,91,8.0,124.29,75.99,5.01
317,Puerto Madryn,92,AR,1555108671,50,-42.77,-65.04,72.72,19.93
318,Zeerust,8,ZA,1555106400,93,-25.54,26.07,60.8,8.05
319,Mujiayingzi,8,CN,1555108848,57,42.12,118.78,40.86,5.28
320,Montes Altos,20,BR,1555108590,94,-5.83,-47.07,73.0,1.59
321,Igunga,32,TZ,1555108848,95,-4.28,33.88,63.0,1.48
322,Magistralnyy,0,RU,1555108848,55,56.17,107.45,15.49,3.15
323,Mandalgovi,0,MN,1555108849,66,45.76,106.27,26.2,10.76
324,Arraial do Cabo,20,BR,1555106400,88,-22.97,-42.02,78.8,2.24
325,Ballina,56,IE,1555108691,77,54.11,-9.15,48.0,18.01
326,Liepaja,0,LV,1555105800,86,56.52,21.02,33.8,4.7
327,Moose Factory,90,CA,1555107120,97,51.26,-80.61,32.0,19.46
328,Phuket,20,TH,1555106400,88,7.89,98.4,78.8,7.29
329,Abu Dhabi,0,AE,1555106400,57,24.47,54.37,77.0,5.82
330,The Valley,40,AI,1555108216,73,18.22,-63.06,80.6,12.75
331,Agirish,32,RU,1555108850,77,61.92,63.02,28.0,7.4
332,Konin,88,PL,1555108818,72,52.23,18.25,36.0,7.96
333,Kissidougou,32,GN,1555108850,74,9.19,-10.1,75.87,8.19
334,Mae Sot,8,MM,1555108850,84,16.71,98.57,73.62,1.81
335,Vacha,92,RU,1555108850,95,55.8,42.77,37.9,13.44
336,Rocha,0,UY,1555108850,74,-34.48,-54.34,52.75,3.6
337,Filotion,80,GR,1555108284,93,37.05,25.5,62.01,16.11
338,Sokoto,64,NG,1555108851,57,13.06,5.24,81.19,2.71
339,Guia de Isora,20,ES,1555108818,59,28.21,-16.78,64.99,17.22
340,San Quintin,56,PH,1555108851,90,17.54,120.52,77.05,3.94
341,Lagoa,0,PT,1555108654,58,37.14,-8.45,59.0,5.82
342,Teguise,20,ES,1555106400,63,29.06,-13.56,64.4,21.92
343,Rongcheng,0,CN,1555108852,72,37.16,122.42,53.82,13.0
344,Tual,68,ID,1555108852,100,-5.67,132.75,80.37,7.74
345,Mutare,64,MZ,1555108852,90,-18.97,32.67,63.1,2.04
346,Nanyang,0,CN,1555108852,89,33.0,112.53,58.77,4.16
347,Muskegon,90,US,1555108654,52,43.23,-86.25,50.0,11.41
348,Eldorado,5,MX,1555108818,20,24.32,-107.36,89.01,13.87
349,Valparaiso,40,US,1555108820,37,41.47,-87.06,55.4,21.92
350,Zhezkazgan,0,KZ,1555108853,82,47.8,67.71,38.7,2.71
351,Leningradskiy,44,RU,1555108853,100,69.38,178.42,10.9,7.63
352,Lazarev,8,RU,1555108853,88,52.23,141.51,34.65,6.17
353,Comodoro Rivadavia,40,AR,1555106400,30,-45.87,-67.48,69.8,29.97
354,Nalut,8,LY,1555108854,36,31.86,10.98,55.62,6.17
355,Ishigaki,75,JP,1555106400,78,24.34,124.16,73.4,11.41
356,Yatou,75,CM,1555106400,83,3.63,9.81,78.8,17.22
357,Poum,12,MK,1555108854,99,41.28,20.71,33.85,1.7
358,Dong Xoai,8,VN,1555108596,88,11.53,106.92,79.2,4.05
